"vectordata","Freq","year"
"여성",86226,2017
"사람",22690,2017
"대통령",21657,2017
"경찰",20556,2017
"사회",18757,2017
"남성",17233,2017
"문제",17068,2017
"시간",16738,2017
"한국",16228,2017
"정부",16057,2017
"후보",15972,2017
"자신",15771,2017
"때문",15633,2017
"생각",14515,2017
"우리",14403,2017
"서울",14069,2017
"이상",13540,2017
"미국",12981,2017
"대표",12469,2017
"경우",12128,2017
"지난해",12109,2017
"사건",12098,2017
"지원",11644,2017
"사진",11404,2017
"만원",11396,2017
"관계",11381,2017
"국민",11257,2017
"시작",10799,2017
"조사",10675,2017
"이후",10596,2017
"결과",10456,2017
"관련",10055,2017
"사실",10014,2017
"혐의",9713,2017
"당시",9666,2017
"이번",9609,2017
"가족",9251,2017
"이유",9014,2017
"활동",8941,2017
"의원",8822,2017
"교육",8699,2017
"세계",8648,2017
"모습",8629,2017
"영화",8612,2017
"교수",8569,2017
"정치",8250,2017
"이날",8221,2017
"정도",8197,2017
"진행",7987,2017
"대상",7918,2017
