"vectordata","Freq","year"
"여성",90555,2016
"사람",24040,2016
"경찰",23298,2016
"사회",18900,2016
"시간",18030,2016
"문제",17914,2016
"남성",17815,2016
"때문",17348,2016
"미국",16872,2016
"자신",16327,2016
"대통령",16075,2016
"서울",15363,2016
"우리",15226,2016
"생각",14843,2016
"이상",14751,2016
"대표",14067,2016
"한국",14045,2016
"경우",14035,2016
"후보",13843,2016
"정부",13661,2016
"사건",13460,2016
"의원",13356,2016
"지난해",13014,2016
"트럼프",12646,2016
"사진",12409,2016
"결과",12329,2016
"혐의",12217,2016
"관계",11618,2016
"조사",11578,2016
"만원",11410,2016
"이번",11387,2016
"시작",11255,2016
"이후",10955,2016
"정치",10718,2016
"관련",10511,2016
"사실",10398,2016
"국민",10284,2016
"지원",10145,2016
"세계",9715,2016
"이유",9554,2016
"당시",9259,2016
"정도",9177,2016
"지역",9013,2016
"중국",8975,2016
"이날",8814,2016
"교육",8670,2016
"활동",8645,2016
"가족",8606,2016
"여자",8552,2016
"모습",8502,2016
